ID,Canton,Naissances,Filles,Garçons
1,Zurich,17281,8767,8514
2,Berne,10234,5310,4924
3,Lucerne,4451,2243,2208
4,Uri,418,205,213
5,Schwyz,1689,870,819
6,Obwald,344,182,162
7,Nidwald,377,183,194
8,Glaris,396,192,204
9,Zoug,1370,718,652
10,Fribourg,3723,1909,1814
11,Soleure,2792,1449,1343
12,Bâle-Ville,2042,1032,1010
13,Bâle-Campagne,2633,1325,1308
14,Schaffhouse,810,423,387
15,Appenzell Rh.-Ext.,575,284,291
16,Appenzell Rh.-Int.,171,94,77
17,Saint-Gall,5424,2757,2667
18,Grisons,1788,941,847
19,Argovie,7421,3819,3602
20,Thurgovie,3016,1557,1459
21,Tessin,2551,1302,1249
22,Vaud,8849,4583,4266
23,Valais,3405,1716,1689
24,Neuchâtel,1689,880,809
25,Genève,5232,2697,2535
26,Jura,721,372,349