ID,Cantons,Taux d'activité std,Taux de chomage
1,Zürich,67.75503211,5.579464787
2,Bern / Berne,63.94712611,4.579659327
3,Luzern,67.0275934,4.212403924
4,Uri,62.57037759,3.667845741
5,Schwyz,67.36746105,3.862980305
6,Obwalden,67.52386984,3.361224865
7,Nidwalden,65.11381565,2.313033206
8,Glarus,64.67104977,5.13213465
9,Zug,65.82689284,5.05754394
10,Fribourg / Freiburg,66.00530586,6.29934355
11,Solothurn,63.67572657,4.983900974
12,Basel-Stadt,61.7301829,6.919675845
13,Basel-Landschaft,59.37428193,5.103791688
14,Schaffhausen,62.71146821,6.288867674
15,Appenzell Ausserrhoden,63.73521988,3.598730008
16,Appenzell Innerrhoden,65.20280475,2.171223372
17,St. Gallen,64.54807019,4.883702528
18,Graubünden / Grigioni / Grischun,62.49188299,3.155854841
19,Aargau,66.03797898,5.465594395
20,Thurgau,65.03213555,5.204267159
21,Ticino,54.92328967,7.90613526
22,Vaud,62.54251275,8.554538063
23,Valais / Wallis,60.38078877,6.227740043
24,Neuchâtel,60.71786536,9.261666417
25,Genève,60.08341812,13.04188308
26,Jura,58.27893343,7.464129884